ticker,net_income,equity,ebit,capital_employed,revenue,revenue_3y_ago,profit_3y_ago,total_debt,interest_expense,cfo,capex,total_assets,roe,roce,net_margin,operating_margin,revenue_cagr,profit_cagr,debt_to_equity,interest_coverage,ocf_ratio,fcf,fcf_margin,asset_turnover,final_score,score_debt_to_equity
ACE,4092186000.0,16147255000.0,5777722000.0,16293381000.0,33245835000.0,16295800000.0,1050200000.0,164367000.0,286524000.0,4119842000.0,2209976000.0,27108470000.0,0.2534292051497298,0.3546054683186995,0.1230886816348574,0.1737878444021634,0.2682956991704406,(0.5736003750949064+0j),0.0101792533777412,20.16487973084279,1.0067582460816786,1909866000.0,0.0574467749118047,1.2264002726823018,4.2857142857142865,4.2857142857142865
AJANTPHARM,9203900000.0,37902900000.0,12098900000.0,40188500000.0,45875100000.0,32841300000.0,7126800000.0,474200000.0,207300000.0,11572300000.0,3179200000.0,50149500000.0,0.2428283851631405,0.3010537840426988,0.2006295354124568,0.2637356648813844,0.117855225519361,(0.08899471821491356+0j),0.0125109160512783,58.36420646406175,1.2573256988885146,8393100000.0,0.1829554594976359,0.91476684712709,4.238095238095238,4.238095238095238
AIRAN,184755000.0,1443069000.0,237997000.0,1623737000.0,1064984000.0,872822000.0,96147000.0,22793000.0,844000.0,212180000.0,54089000.0,1788738000.0,0.1280292210559578,0.1465736138303185,0.1734814795339648,0.2234747188690158,0.0685769443124717,(0.2432357428734433+0j),0.015794809534402,281.9869668246445,1.1484398257151365,158091000.0,0.1484444836729941,0.5953828900599193,4.190476190476191,4.190476190476191
ABSLAMC,9306000000.0,37268700000.0,12502000000.0,38563800000.0,16847800000.0,12929616000.0,6727718000.0,680600000.0,56600000.0,7084800000.0,312800000.0,41144300000.0,0.2497001505284595,0.3241900435123094,0.5523569842946854,0.7420553425373045,0.0922427998974746,(0.11420496570488359+0j),0.0182619731839318,220.8833922261484,0.7613152804642166,6772000000.0,0.4019515901185911,0.4094807786254718,4.142857142857142,4.142857142857142
ALIVUS,4856270000.0,28173720000.0,6565450000.0,29412940000.0,23398350000.0,20874480000.0,4187240000.0,566060000.0,24140000.0,3915240000.0,1661870000.0,34114530000.0,0.1723687890700979,0.2232163802734443,0.2075475407453944,0.2805945718394673,0.038779066448582,(0.050650625867320276+0j),0.0200917734683243,271.9739022369511,0.8062237066719932,2253370000.0,0.0963046539606425,0.6858763699807677,4.095238095238095,4.095238095238095
AJOONI,33720000.0,880788000.0,46282000.0,902299000.0,1146919000.0,740378000.0,10488000.0,19397000.0,2990000.0,-177366000.0,20324000.0,950511000.0,0.0382839003256175,0.0512934182571409,0.0294005069233311,0.0403533292237725,0.1570703031548614,(0.4759272881946577+0j),0.022022325463108,15.478929765886289,-5.259964412811388,-197690000.0,-0.1723661391955316,1.2066341157545784,4.0476190476190474,4.0476190476190474
ACC,24021200000.0,185548400000.0,32350000000.0,197444600000.0,206721500000.0,158144000000.0,18629900000.0,4297700000.0,1082200000.0,17114800000.0,19684400000.0,254126100000.0,0.1294605612336188,0.1638434274728202,0.1162007822118163,0.1564907375381854,0.0933964078069191,(0.088415518183528+0j),0.0231621506841341,29.8928109406764,0.7124873028824539,-2569600000.0,-0.0124302503609929,0.8134603254053795,4.0,4.0
ADVENZYMES,1311150000.0,14208630000.0,1909210000.0,15245920000.0,6365070000.0,5289040000.0,1195820000.0,393500000.0,35570000.0,1424970000.0,347810000.0,16213470000.0,0.09227842515429,0.1252276018764364,0.2059914502118594,0.2999511395789834,0.0636745728547554,0.03116664268186553,0.0276944364094215,53.674725892606126,1.0868092895549708,1077160000.0,0.1692298749267486,0.3925791332762203,3.952380952380952,3.952380952380952
AFFLE,3818690000.0,29464570000.0,4769740000.0,29931330000.0,22654990000.0,10816560000.0,2138780000.0,820950000.0,93370000.0,4259910000.0,1599020000.0,36217700000.0,0.1296027737720251,0.1593560994449628,0.1685584500368351,0.2105381639983067,0.2794546697190707,(0.2131544526194331+0j),0.0278622766257915,51.084288315304704,1.115542240925553,2660890000.0,0.1174527113011305,0.6255226035888529,3.9047619047619047,3.9047619047619047
AKUMS,3381760000.0,30470140000.0,3756600000.0,32196950000.0,40710930000.0,36468340000.0,-2525360000.0,882120000.0,304070000.0,4651960000.0,2723120000.0,41134420000.0,0.1109860341961015,0.1166756478486316,0.0830676184503768,0.0922749738215265,0.0373652030881683,(-0.4488838139904592+0.9545612350421045j),0.0289503100412403,12.354392080770875,1.3756032361847086,1928840000.0,0.0473789225645299,0.98970472903228,3.857142857142857,3.857142857142857
